data2;Data;TX_DES;SL_MIN;TX_SLC;VAR_IPCA
Jan-12;Jan-12;8;622;0,89;0,56
Feb-12;fev/12;7,8;622;0,75;0,45
Mar-12;Mar-12;7,7;622;0,82;0,21
Apr-12;abr/12;7,6;622;0,71;0,64
May-12;mai/12;7,5;622;0,74;0,36
Jun-12;Jun-12;7,4;622;0,64;0,08
Jul-12;Jul-12;7,1;622;0,68;0,43
Aug-12;ago/12;7;622;0,69;0,41
Sep-12;set/12;6,8;622;0,54;0,57
Oct-12;out/12;6,9;622;0,61;0,59
Nov-12;Nov-12;7,3;622;0,55;0,6
Dec-12;dez/12;7,8;622;0,55;0,79
Jan-13;Jan-13;8,1;678;0,6;0,86
Feb-13;fev/13;7,9;678;0,49;0,6
Mar-13;Mar-13;7,7;678;0,55;0,47
Apr-13;abr/13;7,5;678;0,61;0,55
May-13;mai/13;7,4;678;0,6;0,37
Jun-13;Jun-13;7,2;678;0,61;0,26
Jul-13;Jul-13;7;678;0,72;0,03
Aug-13;ago/13;6,8;678;0,71;0,24
Sep-13;set/13;6,6;678;0,71;0,35
Oct-13;out/13;6,3;678;0,81;0,57
Nov-13;Nov-13;6,5;678;0,72;0,54
Dec-13;dez/13;6,8;678;0,79;0,92
Jan-14;Jan-14;7,2;724;0,85;0,55
Feb-14;fev/14;7,2;724;0,79;0,69
Mar-14;Mar-14;7,1;724;0,77;0,92
Apr-14;abr/14;6,9;724;0,82;0,67
May-14;mai/14;7;724;0,87;0,46
Jun-14;Jun-14;7;724;0,82;0,4
Jul-14;Jul-14;6,9;724;0,95;0,01
Aug-14;ago/14;6,7;724;0,87;0,25
Sep-14;set/14;6,6;724;0,91;0,57
Oct-14;out/14;6,6;724;0,95;0,42
Nov-14;Nov-14;6,9;724;0,84;0,51
Dec-14;dez/14;7,5;724;0,96;0,78
Jan-15;Jan-15;8;788;0,94;1,24
Feb-15;fev/15;8,1;788;0,82;1,22
Mar-15;Mar-15;8,3;788;1,04;1,32
Apr-15;abr/15;8,4;788;0,95;0,71
May-15;mai/15;8,7;788;0,99;0,74
